event_id,case_id,event_dttm,channel,contact_result
4505,1703,2026-03-15 17:11:00,sms,RPC
2588,983,2026-02-24 22:54:00,sms,Promise
6466,2419,2026-04-01 13:54:00,call,Promise
5671,2118,2026-02-08 18:29:00,call,No answer
4414,1669,2026-01-11 15:57:00,call,No answer
3730,1416,2026-04-02 14:45:00,call,No answer
974,381,2026-03-17 20:09:00,sms,Promise
3011,1129,2026-02-04 10:36:00,call,No answer
4474,1693,2026-03-07 12:26:00,call,RPC
5803,2166,2026-02-24 17:29:00,sms,RPC
1636,626,2026-02-01 15:08:00,call,Wrong number
4014,1519,2026-03-26 09:05:00,sms,No answer
3476,1315,2026-03-24 18:00:00,sms,No answer
5230,1960,2026-03-28 16:35:00,call,RPC
67,28,2026-01-04 16:48:00,email,Promise
4944,1868,2026-02-19 15:22:00,call,No answer
1582,607,2026-04-02 10:38:00,call,No answer
4724,1779,2026-01-25 15:06:00,call,No answer
653,254,2026-04-10 20:37:00,sms,RPC
652,254,2026-04-07 08:43:00,call,No answer
6226,2326,2026-01-29 11:25:00,email,No answer
4817,1814,2026-03-11 11:19:00,sms,No answer
3005,1126,2026-03-07 12:47:00,call,No answer
189,72,2026-01-18 12:48:00,email,No answer
4463,1689,2026-03-23 18:59:00,sms,RPC
2615,992,2026-01-29 16:42:00,sms,RPC
3361,1275,2026-02-16 12:31:00,sms,No answer
4363,1646,2026-01-27 18:40:00,call,RPC
2769,1047,2026-01-10 10:53:00,call,No answer
1534,589,2026-01-27 16:51:00,call,No answer
3881,1470,2026-03-14 08:08:00,email,Promise
5479,2049,2026-02-17 08:55:00,sms,Wrong number
4169,1573,2026-02-01 13:15:00,email,No answer
3343,1269,2026-02-08 17:03:00,sms,Promise
1256,483,2026-01-22 15:19:00,call,No answer
2683,1017,2026-03-03 18:01:00,call,RPC
5794,2163,2026-02-13 10:31:00,call,Promise
6427,2408,2026-02-28 17:04:00,sms,Promise
5138,1929,2026-03-06 19:34:00,sms,RPC
1881,713,2026-01-21 14:08:00,email,Wrong number
5511,2058,2026-02-13 09:33:00,call,No answer
213,83,2026-03-22 11:03:00,sms,Wrong number
117,44,2026-02-23 10:48:00,sms,RPC
3487,1321,2026-03-11 16:37:00,call,No answer
1708,646,2026-01-14 14:03:00,sms,RPC
1674,636,2026-04-15 20:38:00,call,No answer
6835,2549,2026-01-27 16:22:00,call,Promise
268,101,2026-03-17 19:54:00,sms,Promise
1013,393,2026-03-29 14:06:00,call,Promise
4207,1586,2026-02-18 16:34:00,sms,RPC
30,15,2026-02-13 10:28:00,sms,Promise
1276,496,2026-04-03 09:54:00,call,No answer
2397,910,2026-01-18 15:44:00,call,RPC
2214,835,2026-03-23 11:36:00,sms,RPC
1061,408,2026-02-02 17:51:00,sms,No answer
5800,2164,2026-01-20 13:57:00,email,Wrong number
4699,1770,2026-02-27 18:30:00,call,No answer
2697,1022,2026-03-08 18:44:00,call,RPC
6592,2459,2026-02-15 12:30:00,call,No answer
1126,433,2026-03-18 14:53:00,call,RPC
6146,2307,2026-01-22 20:37:00,call,Promise
6303,2356,2026-01-25 16:14:00,call,Promise
2627,996,2026-02-07 10:28:00,call,No answer
4988,1881,2026-03-10 09:47:00,call,No answer
5087,1912,2026-03-12 15:25:00,sms,No answer
1612,621,2026-04-01 17:36:00,sms,RPC
1579,607,2026-04-09 17:27:00,call,Promise
1822,693,2026-03-26 11:53:00,sms,No answer
2671,1013,2026-04-01 19:59:00,sms,Promise
3948,1494,2026-02-02 18:53:00,call,No answer
6125,2299,2026-03-23 10:40:00,sms,No answer
2679,1016,2026-02-16 08:14:00,sms,Promise
4569,1724,2026-02-12 18:34:00,call,RPC
3087,1158,2026-01-06 17:40:00,sms,RPC
6564,2447,2026-01-27 10:56:00,sms,RPC
578,222,2026-01-07 11:30:00,call,RPC
6928,2588,2026-03-27 09:28:00,email,No answer
6903,2580,2026-01-28 14:09:00,sms,No answer
647,252,2026-03-08 09:43:00,email,No answer
428,162,2026-04-01 08:32:00,sms,RPC
5652,2111,2026-03-18 09:34:00,call,No answer
4544,1716,2026-03-04 16:35:00,call,RPC
6315,2362,2026-01-15 17:02:00,call,No answer
307,123,2026-01-26 15:55:00,call,No answer
4954,1871,2026-03-24 08:32:00,call,RPC
3633,1381,2026-02-11 20:48:00,call,Promise
3754,1426,2026-03-15 19:48:00,email,No answer
1487,571,2026-01-21 20:50:00,call,RPC
6816,2540,2026-04-02 11:54:00,call,Promise
6140,2303,2026-03-02 18:26:00,email,No answer
997,388,2026-01-18 11:55:00,sms,No answer
4013,1518,2026-02-14 14:38:00,call,No answer
4631,1747,2026-03-17 10:21:00,email,RPC
6057,2273,2026-01-29 19:34:00,sms,No answer
6878,2567,2026-03-07 14:56:00,email,No answer
199,77,2026-02-05 14:26:00,call,No answer
5064,1906,2026-02-03 15:19:00,sms,No answer
4248,1603,2026-02-13 19:16:00,sms,No answer
6303,2356,2026-01-25 18:02:00,call,Promise
3195,1203,2026-03-28 20:05:00,email,No answer
3336,1263,2026-04-02 19:49:00,email,No answer
3294,1243,2026-01-11 20:29:00,call,No answer
260,98,2026-01-23 08:22:00,sms,RPC
4485,1697,2026-03-19 18:54:00,call,Promise
3600,1368,2026-01-24 13:16:00,call,RPC
4980,1878,2026-01-18 17:38:00,call,RPC
1206,466,2026-02-12 17:14:00,sms,RPC
6701,2492,2026-02-25 17:08:00,email,No answer
5318,1993,2026-03-18 09:31:00,call,RPC
4433,1677,2026-03-22 09:50:00,call,RPC
4027,1525,2026-03-22 17:02:00,email,RPC
2818,1065,2026-03-02 10:41:00,call,RPC
3225,1216,2026-02-07 17:13:00,sms,No answer
3393,1289,2026-03-12 09:10:00,call,RPC
