payment_id,account_id,payment_dttm,payment_amount
1,50002,2026-02-10 14:54:00,6397.25
2,50005,2026-02-03 16:03:00,25241.16
3,50006,2026-01-31 15:09:00,17364.78
4,50007,2026-02-04 08:36:00,13084.38
5,50008,2026-03-03 12:33:00,0.0
6,50009,2026-03-14 08:22:00,9789.91
7,50010,2026-01-07 16:13:00,7312.12
8,50010,2026-01-16 09:05:00,5455.44
9,50012,2026-02-25 14:27:00,4323.7
11,50015,2026-03-21 19:44:00,-184.17
10,50015,2026-03-23 18:12:00,695.29
12,50019,2026-01-25 16:38:00,33264.31
13,50020,2026-03-25 18:25:00,9085.39
14,50022,2026-01-07 18:05:00,0.0
15,50026,2026-03-17 18:39:00,9202.45
17,50027,2026-01-06 16:47:00,0.0
16,50027,2026-01-07 12:13:00,8953.78
20,50028,2026-01-10 08:21:00,3150.76
18,50028,2026-01-16 16:19:00,4551.47
19,50028,2026-01-26 08:18:00,2373.65
21,50030,2026-01-25 15:13:00,4810.47
22,50030,2026-01-27 08:03:00,4189.98
24,50030,2026-01-27 11:39:00,0.0
23,50030,2026-02-02 16:28:00,1579.78
25,50031,2026-03-10 09:24:00,4578.92
26,50033,2026-02-19 09:59:00,3164.63
27,50035,2026-01-22 13:19:00,26991.85
28,50035,2026-01-31 15:43:00,30596.51
29,50036,2026-01-21 10:23:00,7793.31
30,50040,2026-04-01 17:41:00,11905.76
31,50042,2026-03-11 13:50:00,8927.18
33,50044,2026-01-09 14:05:00,1297.09
32,50044,2026-01-19 11:04:00,787.93
34,50046,2026-01-15 10:03:00,13208.22
35,50047,2026-01-20 13:30:00,-626.4
36,50048,2026-03-25 14:33:00,6780.41
37,50049,2026-02-15 14:45:00,22371.87
40,50050,2026-03-07 08:07:00,13956.07
38,50050,2026-03-09 08:39:00,14352.66
39,50050,2026-03-09 12:25:00,8666.93
42,50055,2026-02-23 18:56:00,1413.33
43,50055,2026-03-05 19:43:00,3246.49
41,50055,2026-03-11 20:48:00,4033.25
44,50056,2026-01-10 16:00:00,-540.57
46,50060,2026-03-06 18:15:00,-1076.14
45,50060,2026-03-11 17:33:00,20322.54
48,50062,2026-01-09 12:31:00,12366.75
47,50062,2026-01-10 12:54:00,21765.64
50,50065,2026-03-19 16:12:00,0.0
49,50065,2026-03-19 17:23:00,21390.81
51,50069,2026-03-15 08:15:00,-1167.04
52,50070,2026-02-02 10:32:00,11956.36
53,50071,2026-01-15 18:49:00,6173.77
55,50072,2026-02-15 18:16:00,-943.84
54,50072,2026-02-19 17:21:00,1816.64
56,50074,2026-01-08 20:49:00,11776.01
57,50075,2026-03-12 19:05:00,-876.68
60,50076,2026-01-20 10:43:00,9886.04
58,50076,2026-01-28 16:04:00,17612.41
59,50076,2026-02-04 12:48:00,4206.12
61,50079,2026-02-25 09:57:00,3433.04
63,50079,2026-02-28 19:43:00,1769.43
62,50079,2026-03-08 10:49:00,3512.87
64,50080,2026-02-19 15:34:00,27949.33
65,50081,2026-02-02 14:28:00,2819.22
66,50081,2026-02-07 14:27:00,4470.36
67,50083,2026-03-10 09:32:00,4146.12
68,50083,2026-03-17 12:46:00,4912.28
69,50084,2026-03-25 16:58:00,5029.04
70,50087,2026-02-14 10:06:00,5448.51
71,50087,2026-02-15 11:23:00,4779.29
72,50089,2026-03-24 14:44:00,8491.38
73,50089,2026-03-28 19:07:00,0.0
74,50090,2026-02-18 20:21:00,26513.57
75,50091,2026-03-08 20:17:00,-1102.44
76,50092,2026-02-14 18:23:00,3242.62
79,50101,2026-01-04 13:23:00,0.0
77,50101,2026-01-08 19:51:00,7143.41
78,50101,2026-01-12 19:44:00,7564.76
81,50102,2026-01-22 10:50:00,21914.58
80,50102,2026-01-23 18:02:00,29287.35
83,50103,2026-02-06 09:14:00,-1285.51
82,50103,2026-02-11 20:25:00,95295.89
85,50105,2026-01-09 17:41:00,11843.28
87,50105,2026-01-09 20:44:00,10014.01
86,50105,2026-01-14 11:18:00,8960.55
88,50105,2026-01-15 10:28:00,11347.82
84,50105,2026-01-18 20:38:00,8343.48
89,50107,2026-01-11 14:53:00,815.11
90,50108,2026-01-24 16:46:00,-1240.41
91,50109,2026-01-20 12:59:00,9380.68
92,50109,2026-01-23 10:26:00,11193.24
93,50112,2026-04-16 15:00:00,12312.8
94,50116,2026-03-07 08:26:00,4711.1
95,50118,2026-03-20 18:19:00,0.0
97,50119,2026-01-05 10:05:00,0.0
96,50119,2026-01-09 14:05:00,5111.84
98,50120,2026-03-01 10:37:00,-1239.06
100,50124,2026-01-23 16:16:00,1294.3
99,50124,2026-01-24 11:37:00,7502.83
101,50126,2026-03-29 12:30:00,3161.81
102,50131,2026-02-17 15:41:00,0.0
103,50133,2026-02-12 09:23:00,14197.83
104,50133,2026-02-14 08:53:00,-573.17
107,50137,2026-03-18 16:04:00,16197.22
105,50137,2026-03-30 11:26:00,18183.11
106,50137,2026-04-03 20:31:00,8440.66
108,50139,2026-02-24 12:16:00,1831.03
109,50139,2026-02-24 18:09:00,8647.57
110,50143,2026-02-05 13:36:00,7453.2
111,50144,2026-02-08 19:29:00,5564.93
113,50145,2026-03-31 10:27:00,8059.08
112,50145,2026-04-07 08:03:00,9773.09
114,50147,2026-02-28 18:08:00,14809.72
117,50149,2026-02-25 10:11:00,1810.68
115,50149,2026-02-26 09:15:00,11444.93
118,50149,2026-02-28 19:19:00,1401.63
116,50149,2026-03-09 16:43:00,3908.92
120,50150,2026-01-21 10:54:00,11455.67
119,50150,2026-01-21 15:42:00,4745.03
122,50150,2026-01-25 11:42:00,10851.06
121,50150,2026-01-25 15:48:00,6479.17
124,50150,2026-01-27 14:37:00,-940.21
123,50150,2026-02-07 09:05:00,10956.49
