customer_id,snapshot_date,score,target_paid_30d,recovered_amount_30d,dpd_bucket,region,current_contact_flg
200034,2026-02-01,0.184798,0,0.0,31-60,Ural,1
200182,2026-02-01,0.03882,0,0.0,31-60,Siberia,0
200215,2026-02-01,0.070687,0,0.0,90+,South,1
200225,2026-02-01,0.061727,0,0.0,90+,SPB,1
200243,2026-02-01,0.016273,0,0.0,90+,SPB,1
200258,2026-02-01,0.038263,0,0.0,31-60,SPB,1
200272,2026-02-01,0.158083,1,8557.36,1-30,South,0
200291,2026-02-01,0.214504,0,0.0,1-30,South,0
200331,2026-02-01,0.183634,0,0.0,1-30,South,0
200345,2026-02-01,0.358484,0,0.0,1-30,Ural,0
200367,2026-02-01,0.445719,1,8014.93,31-60,Moscow,0
200469,2026-02-01,0.243578,0,0.0,1-30,Moscow,0
200567,2026-02-01,0.447768,1,27217.77,90+,Moscow,1
200607,2026-02-01,0.129503,0,0.0,31-60,Ural,0
200610,2026-02-01,0.06073,0,0.0,90+,Center,1
200640,2026-02-01,0.096212,0,0.0,31-60,Ural,0
200689,2026-02-01,0.332151,1,4675.91,31-60,South,0
200690,2026-02-01,0.580751,1,2131.82,31-60,Moscow,0
200695,2026-02-01,0.08871,0,0.0,61-90,Center,1
200698,2026-02-01,0.090821,0,0.0,1-30,Center,0
200705,2026-02-01,0.159605,0,0.0,1-30,Moscow,0
200717,2026-02-01,0.375269,0,0.0,1-30,Moscow,0
200780,2026-02-01,0.079605,0,0.0,61-90,South,1
200808,2026-02-01,0.109083,0,0.0,61-90,Moscow,0
200820,2026-02-01,0.663695,0,0.0,31-60,Moscow,0
200823,2026-02-01,0.355666,0,0.0,31-60,Center,0
200828,2026-02-01,0.026387,0,0.0,90+,Moscow,1
200935,2026-02-01,0.135146,1,5899.65,61-90,Center,0
201069,2026-02-01,0.413551,1,2199.19,1-30,Ural,0
201124,2026-02-01,0.265975,0,0.0,61-90,Siberia,0
201148,2026-02-01,0.490448,0,0.0,61-90,South,0
201154,2026-02-01,0.468767,0,0.0,61-90,Ural,0
201163,2026-02-01,0.0203,0,0.0,61-90,SPB,1
201188,2026-02-01,0.312118,1,11508.02,31-60,Siberia,0
201204,2026-02-01,0.263123,0,0.0,61-90,Center,0
201214,2026-02-01,0.084401,0,0.0,61-90,Siberia,1
201226,2026-02-01,0.05184,0,0.0,90+,Center,0
201234,2026-02-01,0.297127,0,0.0,1-30,Ural,0
201244,2026-02-01,0.237087,0,0.0,1-30,Center,0
201384,2026-02-01,0.153477,0,0.0,90+,Moscow,1
201456,2026-02-01,0.351856,1,4715.89,1-30,Moscow,0
201477,2026-02-01,0.135779,0,0.0,61-90,Moscow,0
201488,2026-02-01,0.120149,0,0.0,31-60,Moscow,1
201501,2026-02-01,0.077841,0,0.0,31-60,SPB,0
201504,2026-02-01,0.633152,0,0.0,1-30,Siberia,0
201521,2026-02-01,0.435136,0,0.0,1-30,Center,0
201547,2026-02-01,0.281759,0,0.0,31-60,Center,0
201582,2026-02-01,0.217117,0,0.0,61-90,Moscow,1
201598,2026-02-01,0.232592,0,0.0,31-60,Moscow,0
201607,2026-02-01,0.196906,1,4835.91,31-60,Ural,0
201643,2026-02-01,0.429045,0,0.0,61-90,Center,0
201705,2026-02-01,0.079246,0,0.0,31-60,Siberia,0
201715,2026-02-01,0.17338,1,20291.57,61-90,Ural,1
201722,2026-02-01,0.218278,0,0.0,1-30,Center,0
201730,2026-02-01,0.34192,1,13334.3,90+,South,0
