customer_id,snapshot_date,dpd_bucket,outstanding_amount,income,region,product_type,contacts_last_7d,rpc_last_30d,promises_last_30d,payments_amount_last_30d,target_paid_30d
100056,2025-10-01,1-30,10987.42,,Siberia,micro_loan,3,0,1,0.0,0
100110,2025-10-01,61-90,30961.88,75940.84,Ural,installment,3,1,0,0.0,0
100111,2025-10-01,31-60,29000.38,82695.8,Center,installment,3,2,1,4746.34,1
100130,2025-10-01,1-30,21187.05,107453.1,Center,micro_loan,1,1,1,4280.34,1
100285,2025-10-01,1-30,33901.72,58239.0,South,micro_loan,1,0,0,2275.41,0
100307,2025-10-01,1-30,17951.2,52303.82,Siberia,cash_loan,1,2,1,909.28,1
100357,2025-10-01,61-90,27136.4,68538.67,SPB,credit_card,4,3,0,3816.22,1
100382,2025-10-01,31-60,12464.62,31994.0,SPB,cash_loan,3,0,0,707.84,0
100430,2025-10-01,61-90,38221.77,97819.72,Moscow,installment,2,1,1,1405.26,0
100450,2025-10-01,1-30,46854.43,119869.29,Siberia,credit_card,1,1,1,5713.15,1
100573,2025-10-01,90+,35376.84,66783.35,Center,credit_card,3,0,0,909.22,1
100699,2025-10-01,31-60,81642.78,90798.98,Moscow,cash_loan,2,0,0,0.0,0
100838,2025-10-01,61-90,85202.76,61751.19,Moscow,micro_loan,2,1,0,5813.63,0
100875,2025-10-01,1-30,36977.83,138999.71,Moscow,micro_loan,2,2,2,8167.88,1
100942,2025-10-01,90+,34559.97,82023.57,Center,micro_loan,3,0,0,2085.72,0
100960,2025-10-01,1-30,12994.93,,Moscow,micro_loan,3,2,2,3999.38,1
101095,2025-10-01,90+,72919.49,84340.84,Ural,credit_card,3,2,1,4459.78,0
101220,2025-10-01,1-30,41348.82,83488.86,SPB,credit_card,3,2,2,8599.15,1
101357,2025-10-01,61-90,60007.04,102898.83,Center,micro_loan,3,0,0,352.29,0
101401,2025-10-01,31-60,70749.38,50846.39,Center,installment,5,2,1,5687.98,1
101449,2025-10-01,31-60,71784.68,74991.31,Moscow,installment,4,0,0,11009.41,1
101573,2025-10-01,1-30,58739.7,84169.55,Moscow,installment,2,0,0,6574.78,0
101720,2025-10-01,1-30,43810.1,109192.34,Moscow,micro_loan,2,3,3,10032.59,0
101754,2025-10-01,61-90,48930.82,,Ural,installment,4,1,1,5059.34,0
102055,2025-10-01,1-30,46747.31,48771.83,South,installment,2,0,0,1617.68,0
102123,2025-10-01,90+,150283.94,56652.58,Ural,cash_loan,7,3,2,26307.11,0
102141,2025-10-01,1-30,11653.88,154190.18,Moscow,credit_card,1,0,0,0.0,1
102143,2025-10-01,31-60,28924.96,76592.12,Moscow,credit_card,0,0,0,3089.89,0
102261,2025-10-01,61-90,65461.32,,South,cash_loan,3,2,2,19687.92,0
102606,2025-10-01,1-30,29752.96,,South,installment,0,1,0,1615.36,1
102629,2025-10-01,1-30,16783.46,,Center,micro_loan,3,3,2,3325.14,1
102775,2025-10-01,31-60,121538.66,68478.91,South,credit_card,5,1,0,13593.48,1
102815,2025-10-01,90+,75416.93,55850.1,SPB,installment,4,3,2,14982.89,0
102880,2025-10-01,1-30,16704.99,34189.73,Siberia,credit_card,1,0,0,0.0,1
103743,2025-10-01,1-30,184437.88,61848.35,South,credit_card,0,1,0,5052.67,0
103764,2025-10-01,90+,150088.09,47378.99,South,installment,2,0,0,3777.21,0
103815,2025-10-01,1-30,67727.16,45864.69,Moscow,installment,1,1,1,11032.99,1
103952,2025-10-01,1-30,20720.29,48401.86,Center,micro_loan,3,3,1,2933.87,1
104167,2025-10-01,61-90,128845.15,79799.66,South,credit_card,1,0,0,0.0,0
104177,2025-10-01,61-90,27440.31,67529.77,Center,credit_card,2,2,1,4615.84,0
104265,2025-10-01,1-30,20023.62,103246.42,Moscow,installment,0,0,0,1162.38,1
104282,2025-10-01,1-30,27494.86,73744.16,Ural,credit_card,3,3,3,5575.32,1
104339,2025-10-01,31-60,28699.7,105441.52,Moscow,micro_loan,3,2,1,0.0,0
104457,2025-10-01,90+,26055.03,26817.47,Siberia,micro_loan,3,0,0,473.35,0
104461,2025-10-01,31-60,18667.37,58918.07,South,credit_card,3,1,1,4538.51,1
104566,2025-10-01,31-60,51927.22,67292.99,Ural,installment,3,2,0,5121.11,0
104580,2025-10-01,31-60,36523.41,68878.93,SPB,installment,0,0,0,2730.6,0
104639,2025-10-01,31-60,60457.12,76157.71,Ural,credit_card,2,1,0,10177.85,1
104700,2025-10-01,1-30,39250.12,72957.81,Moscow,credit_card,2,1,0,2924.77,0
104787,2025-10-01,1-30,47628.85,58434.46,Moscow,cash_loan,0,0,0,0.0,0
104878,2025-10-01,90+,21970.74,128519.43,SPB,micro_loan,3,1,0,2901.98,0
105007,2025-10-01,31-60,28507.3,78752.85,Moscow,credit_card,4,1,0,1605.84,0
105227,2025-10-01,1-30,25847.68,137805.1,SPB,cash_loan,2,1,1,2677.07,1
105271,2025-10-01,61-90,44643.13,56041.73,Ural,cash_loan,5,3,2,8141.09,0
105349,2025-10-01,1-30,54558.48,69783.4,Ural,installment,1,1,1,3704.09,0
105582,2025-10-01,61-90,63076.62,35093.55,South,credit_card,2,1,0,4890.21,0
105654,2025-10-01,90+,53653.86,52034.84,SPB,credit_card,5,2,1,5106.16,1
105671,2025-10-01,1-30,66477.55,79836.0,Center,installment,4,2,1,5979.97,1
105674,2025-10-01,61-90,207583.29,47450.6,Siberia,installment,2,0,0,1439.23,0
105699,2025-10-01,1-30,69152.35,44472.88,Siberia,installment,1,1,0,5656.77,0
105753,2025-10-01,1-30,84802.92,54960.28,SPB,credit_card,2,3,2,10281.89,0
105920,2025-10-01,61-90,19176.11,81298.66,SPB,micro_loan,6,2,1,1759.39,1
105938,2025-10-01,31-60,26216.05,105370.02,Ural,credit_card,2,3,3,5970.4,1
106263,2025-10-01,1-30,32471.48,138505.51,SPB,credit_card,0,0,0,3138.6,0
106410,2025-10-01,1-30,58543.95,56967.36,Ural,cash_loan,1,1,1,9900.0,0
100011,2025-10-02,1-30,43494.1,65320.39,South,credit_card,4,1,0,0.0,1
100101,2025-10-02,90+,57788.23,81899.0,Center,credit_card,4,1,0,0.0,0
100436,2025-10-02,61-90,53970.11,63339.16,South,credit_card,1,1,1,8821.43,1
100492,2025-10-02,90+,202169.85,83218.12,Ural,cash_loan,4,3,1,47141.11,0
100586,2025-10-02,90+,59285.76,80858.47,South,cash_loan,5,0,0,7299.75,0
100616,2025-10-02,31-60,48130.02,50623.17,South,credit_card,4,1,0,6645.78,1
100873,2025-10-02,31-60,32614.22,,South,credit_card,3,3,1,5051.7,1
100949,2025-10-02,1-30,23049.54,79553.02,Center,cash_loan,2,2,2,5772.84,1
101218,2025-10-02,1-30,37477.64,83663.09,Moscow,cash_loan,1,0,0,1982.98,0
101276,2025-10-02,61-90,176123.89,117721.73,Moscow,installment,2,1,0,22837.52,0
101658,2025-10-02,1-30,37070.52,78264.76,SPB,micro_loan,1,2,1,8533.46,0
101734,2025-10-02,31-60,38233.66,87293.46,Siberia,cash_loan,2,0,0,1119.64,0
101818,2025-10-02,1-30,69821.89,42748.9,South,cash_loan,0,1,0,6608.62,0
101824,2025-10-02,1-30,21306.03,38995.12,Center,micro_loan,1,1,0,1533.12,0
102085,2025-10-02,1-30,117599.23,62826.05,Siberia,cash_loan,1,0,0,1757.16,0
102101,2025-10-02,1-30,105624.63,46926.09,Moscow,cash_loan,2,2,2,25736.42,0
102294,2025-10-02,31-60,31733.33,78371.04,SPB,credit_card,1,2,0,4108.55,0
102351,2025-10-02,1-30,30276.53,33237.23,Center,credit_card,0,0,0,3406.57,1
102457,2025-10-02,31-60,99117.04,88814.73,SPB,cash_loan,0,0,0,1314.16,0
102492,2025-10-02,31-60,26620.7,77544.34,SPB,installment,1,0,0,1037.74,0
102527,2025-10-02,31-60,120876.01,,Center,cash_loan,4,2,1,27035.09,1
102541,2025-10-02,90+,81640.52,112163.72,SPB,cash_loan,2,0,0,0.0,0
102595,2025-10-02,31-60,59163.81,69538.55,Ural,cash_loan,3,3,2,11007.37,0
102919,2025-10-02,1-30,37701.31,61399.81,South,credit_card,1,1,1,8957.38,1
103190,2025-10-02,1-30,41494.19,56946.33,Center,credit_card,4,1,0,169.63,1
103273,2025-10-02,31-60,22099.31,74531.58,Moscow,credit_card,4,2,1,1671.41,0
103381,2025-10-02,31-60,31477.19,45246.94,Siberia,installment,4,3,4,10237.05,1
103483,2025-10-02,31-60,204550.5,160919.21,Center,cash_loan,0,0,0,2454.92,0
103602,2025-10-02,61-90,38932.27,137100.11,SPB,credit_card,2,1,0,1069.48,0
103638,2025-10-02,1-30,16695.42,97323.17,South,micro_loan,1,2,2,4422.81,0
103673,2025-10-02,31-60,18454.17,63581.73,Moscow,credit_card,3,1,0,3099.9,1
103803,2025-10-02,1-30,25607.89,67970.99,SPB,cash_loan,3,3,3,9764.02,1
103810,2025-10-02,31-60,102507.39,96042.47,Ural,cash_loan,0,0,0,1742.12,0
103845,2025-10-02,1-30,57135.06,62873.84,Center,credit_card,1,1,0,6141.8,0
104010,2025-10-02,31-60,46744.48,88819.91,SPB,credit_card,3,2,1,5883.79,1
104025,2025-10-02,31-60,87762.53,62174.07,Center,installment,2,1,0,6325.08,0
104035,2025-10-02,31-60,26198.42,45829.72,Center,micro_loan,2,3,3,7901.44,1
104097,2025-10-02,31-60,204444.63,71907.7,Center,cash_loan,1,2,0,24289.05,0
104170,2025-10-02,31-60,20423.28,75065.71,Moscow,micro_loan,3,3,2,3535.84,1
104178,2025-10-02,31-60,78229.42,81656.5,Moscow,cash_loan,3,2,0,6229.79,0
104300,2025-10-02,1-30,110414.08,94335.35,SPB,credit_card,1,0,0,1965.52,0
104987,2025-10-02,1-30,20511.11,50950.17,SPB,credit_card,0,0,0,620.19,1
105042,2025-10-02,31-60,37633.99,46153.6,Center,cash_loan,2,1,0,0.0,0
105202,2025-10-02,31-60,45948.37,42174.16,SPB,installment,1,1,0,2258.99,0
105461,2025-10-02,1-30,11254.21,31085.6,Moscow,credit_card,1,0,0,383.01,0
105500,2025-10-02,1-30,25195.67,89189.69,Center,credit_card,0,1,0,4876.36,1
106325,2025-10-02,1-30,18323.43,61011.88,Center,micro_loan,2,3,3,5959.02,1
106549,2025-10-02,61-90,29037.82,40362.25,South,cash_loan,4,1,1,1924.45,1
100022,2025-10-03,61-90,33786.29,75742.99,South,credit_card,5,4,4,11270.32,1
100059,2025-10-03,61-90,58993.19,128597.47,SPB,cash_loan,5,3,3,20265.2,1
100074,2025-10-03,1-30,15770.19,39842.02,Siberia,installment,1,2,1,2539.21,1
100127,2025-10-03,1-30,33937.79,143769.26,South,cash_loan,1,0,0,939.63,1
100191,2025-10-03,1-30,18143.19,27373.87,Ural,micro_loan,3,3,2,1612.14,0
100216,2025-10-03,1-30,39702.12,,Center,cash_loan,3,4,4,12844.73,0
100323,2025-10-03,1-30,44049.73,51480.86,Center,credit_card,3,1,1,5929.89,1
100394,2025-10-03,31-60,7770.03,109356.43,Center,micro_loan,5,5,4,3024.05,1
100761,2025-10-03,31-60,127566.14,102819.17,Center,cash_loan,1,0,0,0.0,0
100901,2025-10-03,90+,58959.35,77040.81,Center,cash_loan,3,2,1,16294.23,0
100978,2025-10-03,61-90,77982.13,43840.88,Center,credit_card,3,1,0,2987.57,0
101002,2025-10-03,61-90,90901.57,57228.63,Ural,cash_loan,2,2,2,12016.19,0
101046,2025-10-03,31-60,37508.65,57648.14,Moscow,credit_card,3,2,2,1395.9,1
101060,2025-10-03,31-60,63740.08,40702.6,Ural,installment,2,2,1,11776.94,1
101336,2025-10-03,1-30,37088.99,53599.53,SPB,credit_card,1,1,0,0.0,0
101549,2025-10-03,61-90,41143.91,107199.05,Center,credit_card,5,3,3,10375.2,1
101710,2025-10-03,90+,23302.05,44001.14,Moscow,micro_loan,1,0,0,637.3,0
101840,2025-10-03,31-60,168881.05,45449.75,Center,cash_loan,2,1,0,20713.77,0
101874,2025-10-03,1-30,46352.66,68896.46,Moscow,micro_loan,0,0,0,1475.99,0
101929,2025-10-03,31-60,26417.85,111041.88,Center,cash_loan,0,0,0,0.0,1
102139,2025-10-03,1-30,43663.86,65645.63,Moscow,credit_card,0,0,0,3565.27,0
102148,2025-10-03,31-60,19262.33,,Ural,cash_loan,4,2,0,1152.72,1
102461,2025-10-03,90+,47866.81,48696.11,Moscow,installment,0,0,0,1737.45,0
102618,2025-10-03,31-60,13372.17,55682.8,Moscow,installment,2,0,0,710.86,1
102658,2025-10-03,31-60,44515.83,81474.05,SPB,credit_card,4,3,1,6342.54,1
102755,2025-10-03,90+,34330.64,57264.53,South,cash_loan,3,2,0,2195.29,0
103215,2025-10-03,61-90,25666.91,,Moscow,cash_loan,1,1,0,2513.73,0
103329,2025-10-03,1-30,77858.74,38801.25,South,installment,2,1,0,7213.92,1
103333,2025-10-03,1-30,46395.55,80816.68,Moscow,credit_card,2,1,0,3388.38,0
103367,2025-10-03,31-60,39950.89,61180.34,Center,installment,1,1,0,2550.46,0
103419,2025-10-03,1-30,35100.31,31945.9,Center,cash_loan,3,2,1,5755.57,0
103940,2025-10-03,31-60,27574.34,33909.53,South,credit_card,1,1,2,4041.64,1
104227,2025-10-03,31-60,53592.91,45469.37,SPB,installment,0,0,0,142.72,0
104260,2025-10-03,1-30,14936.28,,South,credit_card,2,2,0,1265.03,1
104291,2025-10-03,90+,240985.3,94587.34,SPB,credit_card,4,1,0,11541.94,0
104642,2025-10-03,31-60,24169.56,64339.1,South,micro_loan,3,0,0,0.0,1
104724,2025-10-03,1-30,27927.88,109801.0,Siberia,micro_loan,1,1,0,2860.72,0
104799,2025-10-03,31-60,57020.19,88086.2,Moscow,cash_loan,4,1,0,2089.95,1
105021,2025-10-03,1-30,90436.82,66898.07,Center,cash_loan,0,1,0,13956.64,0
105069,2025-10-03,61-90,31804.11,52417.62,Siberia,credit_card,5,4,4,10901.9,1
105397,2025-10-03,90+,24493.7,48725.56,South,credit_card,4,1,1,727.63,0
105894,2025-10-03,1-30,51144.03,,Moscow,credit_card,2,1,1,6605.59,1
106058,2025-10-03,61-90,67088.25,84758.89,Moscow,credit_card,4,4,4,19851.9,1
106155,2025-10-03,31-60,36129.39,53241.23,Center,cash_loan,4,2,2,6092.75,1
106386,2025-10-03,61-90,110293.12,43355.58,Center,cash_loan,2,1,0,4864.86,0
106403,2025-10-03,1-30,24563.55,42213.99,Siberia,installment,0,1,0,3751.62,0
106623,2025-10-03,31-60,45914.83,55487.2,Center,micro_loan,3,3,2,9828.23,1
106654,2025-10-03,31-60,20379.89,77369.58,Ural,installment,0,1,0,1395.17,1
106767,2025-10-03,31-60,161679.91,81155.1,SPB,cash_loan,5,4,3,59701.14,1
106773,2025-10-03,1-30,24275.62,53780.38,Ural,credit_card,1,1,1,5704.66,1
106793,2025-10-03,1-30,44528.64,53551.39,South,installment,0,1,1,4622.25,0
100027,2025-10-04,31-60,24550.47,28723.29,SPB,cash_loan,2,1,1,4142.06,1
100119,2025-10-04,1-30,20655.84,60244.35,SPB,installment,3,3,2,3752.19,1
100279,2025-10-04,1-30,24643.37,102210.68,South,credit_card,0,0,0,104.02,0
100324,2025-10-04,1-30,10760.06,90840.67,SPB,micro_loan,2,0,0,307.47,0
100543,2025-10-04,1-30,43723.05,59926.29,Siberia,installment,1,0,0,353.08,0
100973,2025-10-04,61-90,43345.52,114629.67,Ural,micro_loan,2,3,2,10515.0,0
101326,2025-10-04,61-90,170374.2,57483.23,Center,credit_card,5,2,0,10270.12,0
101640,2025-10-04,61-90,78806.9,,Center,cash_loan,4,2,0,8969.12,1
101759,2025-10-04,1-30,9500.21,59055.18,SPB,credit_card,0,0,0,703.38,0
101892,2025-10-04,1-30,46961.21,65411.9,Moscow,cash_loan,3,3,2,9010.65,1
101937,2025-10-04,1-30,24513.88,73912.74,Moscow,installment,1,2,1,3643.95,1
102286,2025-10-04,1-30,47334.3,64955.44,Siberia,cash_loan,1,1,0,4405.57,1
102530,2025-10-04,1-30,30068.76,,SPB,credit_card,1,2,3,7440.92,1
102730,2025-10-04,1-30,15168.18,55254.92,SPB,installment,2,2,2,3231.63,0
102942,2025-10-04,90+,140262.91,75889.03,Moscow,cash_loan,2,0,0,13991.58,0
103219,2025-10-04,1-30,12362.11,,Moscow,installment,1,1,1,1400.42,1
103220,2025-10-04,1-30,70003.39,67257.92,Ural,cash_loan,2,2,1,6926.4,1
103511,2025-10-04,31-60,51956.11,61338.41,South,credit_card,2,1,1,3768.0,0
103516,2025-10-04,1-30,66649.46,59244.29,South,installment,3,2,0,1186.95,1
103617,2025-10-04,1-30,44332.44,56139.65,Moscow,cash_loan,2,2,2,11086.57,1
103711,2025-10-04,90+,52230.55,68692.88,SPB,installment,6,4,2,12389.17,1
104022,2025-10-04,90+,17262.31,60718.14,Siberia,credit_card,5,2,1,3021.65,1
104030,2025-10-04,1-30,230163.65,41098.09,Moscow,installment,1,2,1,49303.06,0
104235,2025-10-04,1-30,34563.03,31471.04,South,installment,1,0,0,1974.1,1
104384,2025-10-04,1-30,35851.57,111712.08,SPB,credit_card,1,2,2,6737.66,1
104716,2025-10-04,61-90,79557.98,67270.58,South,cash_loan,3,1,2,6658.02,0
104901,2025-10-04,61-90,47022.24,65546.74,Moscow,cash_loan,3,1,0,3846.46,0
105179,2025-10-04,1-30,34879.77,69922.27,South,cash_loan,1,1,1,5439.45,0
105232,2025-10-04,31-60,53185.08,55779.37,SPB,credit_card,3,1,0,3618.25,0
105258,2025-10-04,90+,139299.74,93689.81,South,cash_loan,2,0,0,0.0,0
105297,2025-10-04,1-30,55037.34,30950.77,South,cash_loan,2,0,1,8398.11,0
105617,2025-10-04,31-60,68730.36,33764.45,South,cash_loan,2,1,0,8340.01,0
106308,2025-10-04,90+,24289.76,110166.18,Center,installment,4,2,0,589.7,0
106350,2025-10-04,1-30,43940.12,61185.94,South,installment,0,0,0,0.0,0
106489,2025-10-04,61-90,26618.85,127885.13,Moscow,micro_loan,3,3,4,6941.09,1
106493,2025-10-04,1-30,49502.16,62230.97,South,cash_loan,2,1,0,5748.0,1
106561,2025-10-04,90+,79028.09,46536.3,Siberia,cash_loan,5,4,4,20921.17,1
106721,2025-10-04,1-30,51464.5,95716.59,Center,micro_loan,1,0,1,9750.25,0
100211,2025-10-05,1-30,42747.34,57046.37,South,installment,0,1,1,4164.79,0
100221,2025-10-05,31-60,20032.39,30952.58,Siberia,installment,3,3,1,3834.09,1
100368,2025-10-05,1-30,20778.69,45823.57,Moscow,credit_card,2,1,0,2885.93,1
100388,2025-10-05,1-30,31357.1,94991.99,Moscow,credit_card,1,1,1,1880.58,1
100501,2025-10-05,1-30,98385.16,25386.71,Siberia,cash_loan,3,2,1,17678.03,0
100546,2025-10-05,1-30,21209.12,33286.29,South,installment,1,0,0,2003.37,0
100645,2025-10-05,31-60,57945.82,28201.65,South,cash_loan,1,1,1,7490.2,1
100812,2025-10-05,61-90,19877.94,35894.34,Ural,credit_card,2,3,1,4135.46,1
100994,2025-10-05,1-30,122804.27,95591.8,South,cash_loan,3,4,4,49827.13,1
101092,2025-10-05,90+,12526.17,,South,micro_loan,5,0,0,2006.84,0
101242,2025-10-05,1-30,174177.98,89692.32,Moscow,cash_loan,1,1,0,14440.67,0
101354,2025-10-05,61-90,43323.51,126520.54,Moscow,installment,4,0,0,280.12,1
101563,2025-10-05,1-30,50500.88,,Moscow,cash_loan,4,3,1,6935.51,1
101668,2025-10-05,1-30,39382.97,66392.75,SPB,cash_loan,2,2,3,10668.33,0
101739,2025-10-05,31-60,65800.76,51396.2,Center,cash_loan,3,2,2,14643.54,0
101776,2025-10-05,31-60,57782.16,70597.52,SPB,credit_card,2,1,0,2944.52,0
101884,2025-10-05,61-90,65152.84,82398.97,Ural,installment,4,3,1,8475.88,0
101965,2025-10-05,1-30,56893.07,66332.85,Siberia,cash_loan,1,1,1,3124.09,0
102009,2025-10-05,31-60,10392.95,52553.99,Ural,micro_loan,1,1,0,1988.21,1
102104,2025-10-05,1-30,57715.67,37190.09,Siberia,micro_loan,5,5,3,16803.86,1
102119,2025-10-05,31-60,27981.34,64842.1,South,credit_card,4,3,1,4272.43,1
102181,2025-10-05,1-30,35084.52,89951.78,Siberia,credit_card,1,1,0,2291.02,0
102415,2025-10-05,61-90,34530.65,45034.5,Center,micro_loan,6,3,2,8707.44,1
