account_id,principal_amount,product_type,region
900056,26495.43,credit_card,South
900101,28009.61,credit_card,Siberia
900110,152462.43,credit_card,Moscow
900111,39740.15,credit_card,South
900130,105077.67,cash_loan,South
900285,34881.34,micro_loan,Moscow
900307,40595.82,installment,Center
900357,9223.46,credit_card,Siberia
900382,191829.63,cash_loan,Siberia
900430,69868.77,credit_card,SPB
900450,56072.74,credit_card,Moscow
900492,43979.18,installment,Siberia
900573,88707.59,credit_card,Moscow
900586,21148.22,credit_card,Center
900699,41052.68,credit_card,SPB
900838,45446.44,credit_card,Siberia
900875,46847.73,credit_card,Ural
900942,48407.76,cash_loan,SPB
900949,58430.42,micro_loan,South
900960,26850.26,credit_card,Center
901095,30403.41,cash_loan,South
901218,40263.63,cash_loan,Center
901220,112288.14,micro_loan,SPB
901276,62473.22,micro_loan,Center
901357,35415.46,installment,Moscow
901401,81281.45,cash_loan,South
901449,28456.39,credit_card,South
901573,84479.07,credit_card,Moscow
901720,29538.7,credit_card,SPB
901754,25060.16,installment,Siberia
901824,138495.14,cash_loan,SPB
902055,39070.13,credit_card,Center
902101,131707.35,micro_loan,Center
902123,43351.36,credit_card,South
902141,52127.23,credit_card,Moscow
902143,38717.6,installment,South
902261,78223.98,cash_loan,SPB
902294,75638.8,cash_loan,Center
902457,78359.53,cash_loan,South
902492,20057.35,installment,Moscow
902606,42892.61,credit_card,SPB
902629,38717.78,credit_card,South
902775,42738.65,cash_loan,Center
902815,27463.72,installment,Moscow
902880,48036.21,cash_loan,SPB
902919,115909.91,micro_loan,Siberia
903190,98728.22,micro_loan,Ural
903483,70671.29,cash_loan,Center
900011,54756.79,credit_card,Center
900022,60815.59,cash_loan,Center
900059,161502.76,installment,Moscow
900191,61546.56,micro_loan,Ural
900216,24048.46,installment,Moscow
900323,100123.46,installment,Moscow
900436,67706.4,credit_card,Center
900616,29325.19,micro_loan,South
900761,79110.98,cash_loan,Ural
900873,122769.63,cash_loan,Center
900901,46092.69,credit_card,Center
900978,62716.0,installment,Siberia
901002,40558.43,credit_card,Center
901046,41779.48,credit_card,Ural
901060,112872.46,micro_loan,Ural
901336,48404.99,credit_card,South
901549,28303.17,cash_loan,Ural
901658,32771.21,cash_loan,SPB
901710,79700.54,installment,Moscow
901734,92415.88,credit_card,South
901818,39041.38,credit_card,South
901840,12181.84,credit_card,Moscow
901874,35018.92,cash_loan,Moscow
901929,73731.43,cash_loan,Center
902085,35865.1,cash_loan,Center
902351,51598.01,installment,Siberia
902461,118604.82,micro_loan,Center
902527,55877.29,credit_card,SPB
902541,23276.25,cash_loan,Center
902595,54375.94,cash_loan,Center
902618,20435.05,credit_card,South
902755,27786.21,cash_loan,Moscow
903273,24172.57,credit_card,Center
903329,95949.28,installment,SPB
903333,43302.62,installment,Moscow
903367,19331.54,cash_loan,Ural
903381,39454.93,installment,Ural
900027,70045.72,credit_card,Moscow
900074,67836.51,credit_card,SPB
900119,123990.5,credit_card,Ural
900127,49287.42,installment,Moscow
900279,30114.76,cash_loan,Moscow
900324,60858.27,installment,Center
900394,550718.43,credit_card,SPB
900543,52848.26,credit_card,Ural
900812,38181.84,credit_card,Moscow
900973,33838.28,credit_card,Ural
901326,8456.3,cash_loan,Moscow
901640,65608.42,installment,Ural
901759,15121.05,micro_loan,South
901892,24756.38,installment,South
901937,50242.16,micro_loan,Ural
902139,84948.62,installment,Ural
902148,33381.71,installment,SPB
902286,63505.94,credit_card,Center
902501,37843.7,credit_card,Ural
902530,75178.87,credit_card,Siberia
902658,97764.72,installment,South
902730,61703.8,micro_loan,Ural
902737,67112.16,credit_card,Moscow
902739,121696.04,cash_loan,Siberia
902942,82727.89,installment,Center
903215,15452.91,cash_loan,SPB
903219,75890.94,installment,Moscow
903220,28342.73,credit_card,Moscow
903419,41096.21,credit_card,SPB
903511,29182.66,micro_loan,Siberia
903516,75212.0,cash_loan,Moscow
900211,34116.08,cash_loan,Moscow
900221,36715.95,credit_card,Siberia
900368,56027.2,installment,Moscow
900388,55093.42,cash_loan,Center
900443,39728.22,credit_card,Center
900501,95212.74,cash_loan,Moscow
900546,21490.16,cash_loan,Center
900645,63033.28,micro_loan,South
900961,156445.62,credit_card,Ural
900994,27471.29,cash_loan,Moscow
901026,23682.4,credit_card,Ural
901092,44737.98,micro_loan,South
901206,172231.21,micro_loan,Moscow
901242,45412.76,installment,Moscow
901354,163472.45,cash_loan,SPB
901563,32444.42,credit_card,South
901659,51893.68,credit_card,Ural
901663,41396.13,credit_card,Siberia
901668,45459.12,installment,Siberia
901730,28723.27,micro_loan,SPB
901739,13606.16,credit_card,SPB
901776,99486.61,cash_loan,Center
901884,37535.72,cash_loan,Ural
901965,37120.86,cash_loan,Center
902009,46247.76,installment,SPB
902104,60654.86,micro_loan,Center
902119,101777.87,credit_card,Moscow
902181,29674.55,cash_loan,SPB
902246,69120.47,credit_card,Center
902404,46386.73,micro_loan,Siberia
902415,32322.39,cash_loan,Center
902435,125244.43,installment,Siberia
902575,40705.3,micro_loan,SPB
902625,60441.19,installment,Moscow
902856,54884.75,credit_card,Moscow
902921,29572.68,cash_loan,Moscow
902943,56409.72,installment,Siberia
903065,114833.64,credit_card,Center
903074,63783.99,credit_card,SPB
903125,59289.65,installment,Ural
903160,43193.97,cash_loan,Siberia
903313,68463.52,cash_loan,Siberia
903563,107400.31,installment,Ural
903568,114902.24,installment,South
903575,78390.7,credit_card,SPB
900184,68380.52,cash_loan,Center
900218,27323.94,cash_loan,Ural
900277,66472.06,cash_loan,Siberia
900466,23604.16,cash_loan,South
900622,34621.75,installment,SPB
900735,28875.77,cash_loan,Ural
900759,69296.81,installment,SPB
900795,48900.84,credit_card,Ural
900799,42492.41,installment,South
900857,33756.1,installment,SPB
900984,37696.59,credit_card,SPB
901024,43745.86,credit_card,Center
901157,32380.9,credit_card,South
901203,16718.81,installment,Ural
901249,31107.48,cash_loan,SPB
901296,130645.12,installment,Moscow
901319,38996.59,cash_loan,South
901331,51942.11,credit_card,Siberia
901482,44865.72,credit_card,Moscow
901486,86608.82,credit_card,SPB
901631,107110.63,credit_card,South
901843,52103.59,cash_loan,Center
902115,154059.81,credit_card,Moscow
902171,20031.17,credit_card,Siberia
902296,74210.14,installment,South
902306,49748.36,installment,Moscow
902331,204061.29,credit_card,Center
902340,46815.96,installment,South
902471,27607.2,installment,Center
902473,43662.62,installment,South
902546,54742.08,credit_card,Center
902612,41415.05,credit_card,Center
902680,111982.55,credit_card,Center
902700,38455.36,micro_loan,South
902758,19074.87,cash_loan,South
902824,32862.22,credit_card,South
902904,40372.52,micro_loan,Moscow
902916,31817.22,credit_card,South
903180,48670.67,installment,Ural
903195,40969.83,credit_card,Center
903599,54139.9,credit_card,Moscow
900010,31038.97,cash_loan,Moscow
900187,69899.71,cash_loan,Center
900224,51214.48,micro_loan,Moscow
900574,41963.89,credit_card,Siberia
900734,46625.34,installment,South
900736,47973.56,cash_loan,South
900841,167036.13,installment,Moscow
900888,31968.16,installment,SPB
900940,36833.53,installment,Center
901044,23215.92,credit_card,Center
901290,46070.26,cash_loan,Center
901417,34794.83,cash_loan,South
901539,79350.8,credit_card,Moscow
901567,98953.23,credit_card,SPB
901571,44842.81,micro_loan,South
901732,134460.91,credit_card,Moscow
901797,57825.89,installment,South
901925,73772.8,micro_loan,Center
902008,193800.71,credit_card,Center
902150,43507.17,credit_card,Moscow
902282,63514.68,installment,South
902474,21723.59,micro_loan,Moscow
902572,204862.97,credit_card,Moscow
902698,30970.98,installment,South
902727,133192.85,cash_loan,South
902932,38442.36,credit_card,Siberia
902956,33618.86,credit_card,SPB
903063,65483.85,credit_card,Siberia
903084,49086.86,cash_loan,Center
903218,18523.59,cash_loan,South
903223,42595.2,credit_card,Center
903391,121120.35,micro_loan,Moscow
903497,42554.68,credit_card,Moscow
903520,22919.99,installment,SPB
900028,35655.25,cash_loan,SPB
900151,122668.59,credit_card,Ural
900242,30174.08,cash_loan,Ural
900398,71830.11,cash_loan,South
900412,34051.24,cash_loan,Center
900441,38270.84,cash_loan,Center
900553,116769.03,installment,SPB
900621,152976.83,cash_loan,Center
900702,29076.47,credit_card,Siberia
900840,35503.08,credit_card,Moscow
900924,56731.31,micro_loan,SPB
901225,26453.12,cash_loan,South
901324,170743.52,credit_card,Center
901361,50199.41,micro_loan,Center
901391,59800.07,credit_card,Ural
901554,17507.2,cash_loan,SPB
901625,70114.32,credit_card,Moscow
901679,19805.82,credit_card,SPB
901780,93936.11,credit_card,Moscow
901839,129327.4,installment,South
901988,27681.76,installment,SPB
902016,92257.81,micro_loan,Ural
902037,65689.01,credit_card,Moscow
