payment_id,account_id,payment_dttm,payment_amount
2045,900000,2026-03-05 19:00:00,33146.19
2046,900000,2026-03-09 19:22:00,10173.95
1731,900001,2026-03-07 10:23:00,10983.38
3020,900003,2026-03-30 08:53:00,4881.1
816,900004,2026-02-04 10:12:00,7765.41
962,900006,2026-02-13 18:00:00,41772.96
2048,900008,2026-03-07 09:55:00,8487.94
2047,900008,2026-03-11 18:12:00,8613.21
2598,900009,2026-03-19 18:00:00,21273.45
1939,900012,2026-02-27 09:00:00,10611.81
1941,900012,2026-03-01 13:43:00,5860.45
1940,900012,2026-03-09 09:51:00,8990.07
2599,900015,2026-03-14 20:37:00,4410.41
2600,900015,2026-03-17 19:02:00,0.0
2681,900016,2026-03-19 14:53:00,14696.74
2550,900017,2026-03-20 19:01:00,11181.75
743,900019,2026-01-28 12:38:00,10125.33
2682,900020,2026-04-03 15:00:00,27293.03
52,900022,2026-01-21 09:41:00,7955.04
1635,900023,2026-02-17 10:51:00,4406.17
1636,900023,2026-03-04 12:05:00,11040.17
1634,900023,2026-03-04 20:25:00,13563.31
2049,900025,2026-03-19 15:57:00,12670.46
2551,900026,2026-04-01 13:03:00,13060.23
86,900027,2026-01-11 10:58:00,12196.88
87,900027,2026-01-23 08:43:00,17899.05
85,900027,2026-01-23 19:30:00,22246.21
776,900029,2026-02-06 10:03:00,12165.69
2016,900031,2026-03-02 16:00:00,9902.05
2017,900031,2026-03-18 12:35:00,11529.43
1599,900033,2026-02-21 11:10:00,0.0
521,900036,2026-01-15 17:18:00,8524.05
522,900036,2026-01-25 16:14:00,0.0
1003,900038,2026-02-01 11:21:00,-1136.81
1002,900038,2026-02-16 16:24:00,7971.55
681,900039,2026-01-20 20:01:00,2084.06
680,900039,2026-01-29 20:56:00,17866.04
679,900039,2026-02-04 19:00:00,4208.2
3102,900040,2026-04-10 13:00:00,12492.16
1004,900041,2026-02-15 08:40:00,6165.56
1600,900043,2026-03-03 11:00:00,24094.8
260,900044,2026-01-11 10:52:00,0.0
2018,900045,2026-02-28 15:00:00,21219.45
2020,900045,2026-03-07 13:48:00,17450.1
2019,900045,2026-03-11 12:00:00,12324.8
458,900046,2026-01-19 10:39:00,3404.51
550,900047,2026-01-22 10:06:00,9947.51
549,900047,2026-02-06 17:50:00,11069.04
1391,900049,2026-02-16 09:00:00,5054.63
2271,900050,2026-03-11 14:00:00,2574.08
649,900051,2026-01-31 15:00:00,37818.03
1128,900052,2026-02-04 19:00:00,7598.81
1129,900052,2026-02-07 20:00:00,9937.81
1131,900052,2026-02-08 16:09:00,0.0
1130,900052,2026-02-14 16:00:00,5223.55
459,900053,2026-01-24 17:48:00,10210.88
1808,900055,2026-02-21 18:15:00,-1190.36
1,900056,2026-01-19 13:35:00,7920.25
1601,900057,2026-02-17 15:43:00,14927.23
54,900059,2026-01-07 11:32:00,20491.61
53,900059,2026-01-23 16:00:00,43128.41
3174,900061,2026-04-18 13:00:00,10098.49
299,900062,2026-01-24 19:28:00,7274.17
1099,900064,2026-02-09 13:35:00,-653.15
2454,900065,2026-03-28 09:07:00,7675.62
1637,900066,2026-03-05 15:00:00,10183.31
1638,900066,2026-03-08 09:00:00,6371.26
2906,900067,2026-03-31 10:00:00,16457.5
683,900068,2026-01-22 09:31:00,0.0
682,900068,2026-02-06 14:21:00,18780.95
2552,900069,2026-03-16 17:00:00,18637.61
1132,900070,2026-02-12 08:41:00,8194.48
1468,900072,2026-02-28 16:00:00,15151.73
2380,900073,2026-03-20 20:00:00,37485.74
684,900076,2026-01-21 19:38:00,2860.92
2124,900077,2026-03-01 10:30:00,0.0
1982,900079,2026-03-14 09:19:00,18825.62
1983,900079,2026-03-16 10:34:00,12732.68
1045,900080,2026-02-03 15:16:00,10129.98
2347,900082,2026-03-19 11:00:00,19757.71
2348,900082,2026-03-26 16:00:00,14963.74
2272,900083,2026-03-07 11:00:00,9989.54
2273,900083,2026-03-12 13:22:00,782.68
3021,900084,2026-04-14 16:35:00,2248.39
2834,900086,2026-03-23 16:41:00,11841.02
2831,900086,2026-03-24 20:30:00,6817.97
2833,900086,2026-04-01 10:08:00,5444.7
2832,900086,2026-04-07 13:53:00,10783.14
1469,900087,2026-02-20 16:33:00,9341.22
1732,900088,2026-02-24 12:16:00,-429.1
2881,900089,2026-03-23 12:50:00,8218.23
1602,900090,2026-02-25 14:00:00,9977.54
1433,900092,2026-02-11 15:01:00,6461.52
1431,900092,2026-02-18 17:00:00,21262.06
1432,900092,2026-02-19 19:00:00,6215.5
1434,900092,2026-03-03 15:42:00,8294.27
2553,900095,2026-03-24 13:05:00,5472.56
2554,900096,2026-03-21 10:22:00,3859.1
2556,900096,2026-03-22 15:48:00,0.0
2555,900096,2026-03-30 12:32:00,7829.21
687,900097,2026-01-29 15:40:00,11595.65
686,900097,2026-02-02 17:04:00,12734.65
685,900097,2026-02-07 08:06:00,10519.29
2683,900100,2026-03-25 15:53:00,9742.84
2,900101,2026-01-11 10:05:00,3573.45
2646,900104,2026-03-27 14:00:00,59907.63
2648,900104,2026-03-27 18:38:00,10776.71
2647,900104,2026-03-28 13:00:00,47783.17
262,900105,2026-01-08 17:59:00,0.0
261,900105,2026-01-25 15:00:00,7469.57
1046,900106,2026-02-10 18:00:00,6177.05
1047,900106,2026-02-17 15:00:00,9359.1
347,900107,2026-01-18 15:59:00,13160.22
346,900107,2026-01-21 20:00:00,16807.53
348,900107,2026-01-29 15:44:00,16124.48
491,900108,2026-01-30 14:02:00,3781.72
490,900108,2026-02-04 14:02:00,7219.42
523,900109,2026-01-26 09:00:00,11774.33
3,900110,2026-01-09 13:30:00,-389.7
3142,900112,2026-04-10 19:00:00,14846.18
1501,900114,2026-02-20 08:38:00,16584.67
2835,900117,2026-03-28 20:23:00,4121.03
88,900119,2026-01-15 09:49:00,24108.92
1809,900120,2026-02-23 17:00:00,10580.07
1810,900120,2026-02-24 20:00:00,10730.17
1811,900120,2026-02-26 16:50:00,-623.46
843,900121,2026-02-04 11:00:00,4453.32
745,900122,2026-02-05 10:38:00,41770.7
744,900122,2026-02-08 14:30:00,28940.28
688,900124,2026-01-29 11:14:00,10007.78
2756,900126,2026-03-22 19:23:00,7868.96
90,900127,2026-01-07 11:02:00,0.0
89,900127,2026-01-22 20:01:00,3890.21
2949,900128,2026-04-05 20:00:00,3943.08
2557,900129,2026-03-23 18:00:00,14976.83
1942,900132,2026-03-17 12:03:00,14184.75
1435,900133,2026-02-25 08:33:00,3831.56
1005,900134,2026-02-18 16:00:00,17712.2
419,900135,2026-01-21 11:00:00,14136.6
524,900136,2026-01-16 17:53:00,0.0
2757,900137,2026-03-28 20:00:00,21139.55
2907,900138,2026-03-29 09:00:00,19863.32
2908,900138,2026-04-04 19:49:00,6956.61
1943,900139,2026-03-16 12:00:00,9238.33
1175,900143,2026-02-11 18:03:00,0.0
2950,900148,2026-04-05 20:00:00,2968.86
1984,900149,2026-02-27 09:06:00,14608.68
3022,900153,2026-04-03 14:07:00,6550.85
1239,900154,2026-02-20 18:22:00,2198.19
2021,900155,2026-03-09 16:35:00,11623.94
1502,900160,2026-03-04 20:10:00,17521.09
3065,900161,2026-03-30 13:00:00,18562.39
2187,900163,2026-03-08 16:11:00,3702.61
2186,900163,2026-03-14 20:35:00,11155.0
1605,900165,2026-02-18 08:59:00,14266.69
1603,900165,2026-02-20 19:00:00,34988.68
1604,900165,2026-02-26 17:04:00,13743.21
2725,900166,2026-03-17 15:39:00,7970.07
551,900167,2026-02-06 14:09:00,15345.29
1503,900168,2026-02-27 19:00:00,5028.66
609,900169,2026-01-22 12:00:00,44126.97
2274,900170,2026-03-06 11:00:00,14169.9
2275,900170,2026-03-16 11:00:00,13789.78
2276,900170,2026-03-18 19:50:00,2917.17
1007,900172,2026-02-03 17:31:00,3623.22
1006,900172,2026-02-13 15:34:00,3418.91
2909,900174,2026-03-28 09:58:00,-304.92
2156,900177,2026-03-15 13:00:00,9680.6
1505,900178,2026-02-15 17:50:00,0.0
1504,900178,2026-02-24 09:00:00,3157.51
420,900179,2026-01-28 20:00:00,17758.95
1733,900180,2026-02-26 09:31:00,-1258.39
2237,900185,2026-03-11 13:49:00,6443.77
2236,900185,2026-03-19 11:00:00,7378.89
2238,900185,2026-03-22 13:25:00,3531.45
2684,900186,2026-03-18 17:06:00,4145.49
2685,900186,2026-04-01 11:56:00,5496.52
187,900187,2026-01-13 15:58:00,17811.3
1176,900188,2026-02-07 14:00:00,17984.06
1177,900188,2026-02-24 20:00:00,15647.02
2601,900190,2026-03-21 08:15:00,2519.49
1048,900192,2026-02-19 08:19:00,6057.73
1734,900194,2026-02-23 12:00:00,14444.95
1735,900194,2026-03-07 20:00:00,15909.45
1356,900195,2026-02-23 11:00:00,10019.96
1436,900196,2026-02-26 17:00:00,4117.24
1178,900197,2026-02-13 16:00:00,13977.85
933,900198,2026-02-12 10:00:00,26691.17
575,900199,2026-01-18 09:07:00,5332.14
573,900199,2026-01-19 16:00:00,24061.34
574,900199,2026-01-23 20:00:00,8142.81
576,900199,2026-01-24 16:37:00,11025.51
577,900199,2026-01-30 17:48:00,8784.57
2157,900200,2026-03-12 19:13:00,7711.39
1559,900202,2026-02-21 15:00:00,7066.04
1133,900203,2026-02-09 14:33:00,0.0
552,900204,2026-01-23 17:33:00,16633.92
553,900204,2026-01-27 12:11:00,1937.19
1134,900205,2026-02-05 17:45:00,-109.79
2836,900206,2026-03-25 14:00:00,8912.78
610,900209,2026-01-24 17:00:00,18759.43
611,900209,2026-01-31 20:00:00,14158.3
114,900211,2026-01-12 09:00:00,14444.67
1357,900212,2026-02-25 20:00:00,19158.33
1872,900215,2026-02-22 12:29:00,-914.21
1870,900215,2026-02-22 14:41:00,879.45
1869,900215,2026-02-25 20:32:00,4509.08
1871,900215,2026-03-03 13:08:00,5776.53
2952,900217,2026-03-30 12:18:00,17184.1
2951,900217,2026-04-10 13:00:00,20435.71
154,900218,2026-01-06 19:54:00,7090.57
153,900218,2026-01-10 11:58:00,8282.37
152,900218,2026-01-10 15:00:00,10281.66
777,900220,2026-01-30 15:00:00,17987.94
423,900223,2026-01-17 09:41:00,8745.39
424,900223,2026-01-19 16:19:00,-907.92
422,900223,2026-01-19 19:31:00,14472.28
421,900223,2026-01-31 16:00:00,11880.52
188,900224,2026-01-22 12:00:00,10674.59
689,900226,2026-01-25 20:00:00,12670.01
690,900226,2026-02-02 18:01:00,12642.12
1049,900227,2026-02-05 10:35:00,3555.55
1560,900228,2026-03-03 14:00:00,21067.13
2349,900232,2026-03-09 19:27:00,-822.51
1696,900234,2026-02-23 15:00:00,8386.33
2910,900235,2026-04-11 11:08:00,5192.25
3023,900236,2026-04-15 09:01:00,8054.96
2277,900237,2026-03-15 12:21:00,0.0
1008,900238,2026-02-08 11:00:00,6684.1
383,900239,2026-01-18 16:41:00,7453.44
1100,900240,2026-02-07 09:00:00,30106.02
1101,900240,2026-02-21 18:00:00,24579.51
935,900241,2026-01-30 20:47:00,0.0
934,900241,2026-02-10 12:00:00,13076.63
3067,900246,2026-04-01 09:26:00,12029.1
3066,900246,2026-04-02 15:00:00,16130.83
1842,900251,2026-02-26 13:00:00,21601.25
2758,900252,2026-04-06 12:00:00,26652.39
300,900254,2026-01-13 20:00:00,11916.11
492,900256,2026-02-02 14:44:00,6018.46
2686,900257,2026-03-27 13:18:00,14529.47
2125,900259,2026-03-10 19:07:00,19622.89
691,900261,2026-02-05 10:00:00,22105.07
2912,900266,2026-03-26 12:31:00,12895.25
2911,900266,2026-03-28 09:05:00,1826.77
2913,900266,2026-03-30 08:17:00,4931.35
2914,900266,2026-04-02 19:48:00,7192.24
612,900267,2026-01-26 16:49:00,0.0
2882,900268,2026-03-30 20:00:00,11463.74
578,900269,2026-01-21 08:44:00,3604.49
579,900269,2026-01-24 18:08:00,6303.9
580,900269,2026-02-02 16:11:00,9339.98
2727,900271,2026-03-28 14:50:00,9597.89
2726,900271,2026-03-29 18:58:00,6384.69
2688,900274,2026-03-29 15:12:00,1887.94
2687,900274,2026-04-01 11:43:00,5349.74
3177,900275,2026-03-29 13:06:00,4536.43
3178,900275,2026-03-31 09:02:00,6441.94
3175,900275,2026-04-07 19:00:00,1928.73
3176,900275,2026-04-08 18:00:00,10860.02
91,900279,2026-01-13 20:00:00,9218.03
2602,900280,2026-03-25 13:51:00,4693.96
2953,900282,2026-03-27 15:00:00,7128.91
2956,900282,2026-04-02 10:18:00,9709.1
2955,900282,2026-04-06 13:03:00,7359.6
2954,900282,2026-04-08 09:28:00,7753.04
1783,900284,2026-02-22 15:00:00,19082.18
1786,900284,2026-02-23 18:39:00,15169.47
1785,900284,2026-02-25 16:04:00,6321.62
1788,900284,2026-02-27 11:19:00,0.0
1784,900284,2026-02-28 11:00:00,23722.97
1787,900284,2026-03-03 18:14:00,15317.91
4,900285,2026-01-12 15:51:00,7060.03
2305,900286,2026-03-14 17:00:00,-955.59
